tag,description,legal_reference,category
CRAZY_SEXUAL,'Crazy' used in sexual intensity context — may be consensual framing,Context-dependent; flag for human review,REALITY_DISTORTION_SUBTYPE
CRAZY_REALITY,'Crazy' used to dismiss victim's legitimate concern or memory,DA Act 2021 s.1(3); SCA 2015 s.76,REALITY_DISTORTION_SUBTYPE
CRAZY_AFFECTION,'Crazy' used affectionately ('crazy about you'),No legal significance on its own — context marker only,REALITY_DISTORTION_SUBTYPE
CRAZY_SELF,"Victim uses 'crazy' about themselves (self-doubt, internalised framing)",Relevant to psychological impact evidence,REALITY_DISTORTION_SUBTYPE
REPAIR_CYCLE,"Post-incident apology, reconciliation, or affection (sorry, miss you, forgive). Key: what happened immediately before?",CPS CC guidance: 'full picture' and 'layered spectrum'; DASH indicator,CYCLE
LOVE_BOMB,"Intense affirmation of love/worth, often following an incident or exit attempt",Documented in Stark (2007) as a cycle-maintenance tactic,CYCLE
ISOLATION_FRIENDS,"Interference with, criticism of, or restrictions on friendships",SCA 2015 s.76; Duluth 'Using Isolation',ISOLATION
ISOLATION_FAMILY,Interference with family contact,SCA 2015 s.76; Duluth 'Using Isolation',ISOLATION
TRIANGULATION_EX,"Use of ex-partner (Holly) to create jealousy, comparison, or destabilisation",Duluth 'Using Emotional Abuse'; SCA 2015 s.76 pattern element,TRIANGULATION
TRIANGULATION_THIRD,"Use of another person (Dan, Nathan, Kit, Nick) to manipulate, compare, or destabilise",Duluth 'Using Emotional Abuse',TRIANGULATION
THREAT_LEGAL,"Threats involving legal action, police, or official processes",PHA 1997; SCA 2015 s.76,THREAT
THREAT_IMMIGRATION,"Threats involving immigration status, deportation, Home Office",SCA 2015 s.76; DA Act 2021 s.1(4); DDVC,THREAT
THREAT_HOUSING,"Threats to remove housing: 'kick you out', 'you'll have nowhere to go'",SCA 2015 s.76; DA Act 2021 s.1(4); Housing Act 1996 s.177,THREAT
THREAT_SELF_HARM,"Perpetrator threatening self-harm as coercive tool, or victim disclosing self-harm/suicidal ideation",SCA 2015 s.76; Mental Health Act; DASH high-risk indicator,THREAT
THREAT_VIOLENCE,Direct or indirect threat of physical violence,CJA 1988 s.39; PHA 1997; SCA 2015 s.76,THREAT
ABUSE_BY_HENRY,Henry uses the word 'abuse' to describe Cady's conduct (DARVO),CPS CC guidance on DARVO; credibility assessment,ABUSE_NAMED
ABUSE_BY_CADY,"Cady explicitly names abuse, abusive behaviour, or sends support resources",Contemporaneous victim naming — strongest credibility evidence,ABUSE_NAMED
FEAR_BY_CADY,"Cady explicitly states fear, being scared, or feeling unsafe",DA Act 2021 s.1(3); DASH indicator; R v Dhaliwal [2006] (psych injury),DISTRESS
DISTRESS_PHYSICAL,"Physical symptoms of distress: vomiting, not eating, not sleeping, shaking",DA Act 2021 s.1(3); medical corroboration evidence,DISTRESS
VIOLENCE_DIRECT,Direct statement of physical violence having occurred,CJA 1988 s.39 (assault); Offences Against Person Act 1861; DASH indicator,VIOLENCE
DOCUMENT_CONTROL,"Passport, documents, ID withheld or moved by perpetrator",SCA 2015 s.76; DASH indicator; CPS CC guidance,CONTROL
EXIT_ATTEMPT,Victim attempts or signals desire to leave the relationship,Key indicator of victim's resistance — important for disproving consent to coercive regime,EXIT
EXIT_BLOCKED,Perpetrator's response to exit attempt that discourages or prevents leaving,SCA 2015 s.76; Duluth 'Using Children/Threats',EXIT
MONITORING,"Checking on location, movements, communications, or social contacts",SCA 2015 s.76; Duluth 'Using Isolation'; tech abuse framework,CONTROL
FUTURE_FAKE,"False promises about future life, home, children, to maintain relationship",Relevant to any duress/undue influence claim; establishes psychological hook,DELIVERY_MECHANISM
