pattern_id,tag,category,description,total_occurrences,henry_occurrences,cady_occurrences,first_seen,last_seen,span_days,legal_reference,representative_quote,escalation_note
P017,MINIMISATION,REALITY_DISTORTION,"Downplaying the severity of behaviour: 'just', 'only a bit', 'overreacting'",6,6,0,2025-02-19,2026-04-30,435,"SCA 2015 s.76 pattern element; Duluth 'Minimising, Denying, Blaming'",but also yeah relax and just have some fun with it,
P001,ABUSE_BY_CADY,ABUSE_NAMED,"Cady explicitly names abuse, abusive behaviour, or sends support resources",4,0,4,2025-08-06,2026-05-02,269,Contemporaneous victim naming — strongest credibility evidence,I’m also making a zip locked meds dispenser with nick and making a plan so that I have extra help not to abuse them,
P007,CRAZY_SEXUAL,REALITY_DISTORTION_SUBTYPE,'Crazy' used in sexual intensity context — may be consensual framing,4,3,1,2025-01-17,2025-01-28,11,Context-dependent; flag for human review,so it may end up turning into an absolutely crazy wild weekend,
P009,DEPENDENCY_HOUSING,DEPENDENCY,"Housing used as leverage: eviction threats, 'where will you go', lock-outs",3,3,0,2025-06-05,2026-04-30,329,DA Act 2021 s.1(4); Family Law Act 1996 Part IV (occupation orders),"if it is allowed to speak to a wifi box it has previously used after the installation has finished, it will lock you out",
P016,LOVE_BOMB,CYCLE,"Intense affirmation of love/worth, often following an incident or exit attempt",3,3,0,2025-01-14,2025-04-03,78,Documented in Stark (2007) as a cycle-maintenance tactic,You’re amazing enough as it is,
P005,CONTROL_TOTAL,CONTROL,"Explicit statements of total/complete control ('total control', 'won't ever…')",2,2,0,2024-12-07,2025-01-14,37,SCA 2015 s.76 — continuous or repeated course of conduct,I hope you know once you’re under my control you won’t ever cum from your pussy again,
P008,DEPENDENCY_FINANCIAL,DEPENDENCY,"Financial dependency established or exploited: paying rent, covering costs, 'you need me financially'",2,1,1,2024-07-06,2025-01-25,202,DA Act 2021 s.1(4) economic abuse; Duluth 'Economic Abuse' tactic,The one thing I might say you owe me is a voice note lol,
P011,DOCUMENT_CONTROL,CONTROL,"Passport, documents, ID withheld or moved by perpetrator",2,1,1,2026-04-01,2026-04-01,0,SCA 2015 s.76; DASH indicator; CPS CC guidance,Do you have my passport? I’m trying to find mind,
P025,THREAT_VIOLENCE,THREAT,Direct or indirect threat of physical violence,2,1,1,2025-04-02,2026-04-25,388,CJA 1988 s.39; PHA 1997; SCA 2015 s.76,‘but you better still treat me like a whore otherwise I’ll make you pay again to remind you what I am',
P027,VIOLENCE_DIRECT,VIOLENCE,Direct statement of physical violence having occurred,2,0,2,2026-04-25,2026-04-30,5,CJA 1988 s.39 (assault); Offences Against Person Act 1861; DASH indicator,But the fact remains: you were physically violent with me multiple times.,
P002,ABUSE_BY_HENRY,ABUSE_NAMED,Henry uses the word 'abuse' to describe Cady's conduct (DARVO),1,1,0,2026-04-17,2026-04-17,0,CPS CC guidance on DARVO; credibility assessment,"There will eventually be a limit to the amount of abuse I can take, but I do still want to support you",
P003,BLAME_SHIFT,REALITY_DISTORTION,Attributing perpetrator's conduct to victim's behaviour,1,1,0,2025-03-29,2025-03-29,0,"Duluth 'Minimising, Denying, Blaming'; CPS CC guidance (DARVO recognition)",none of this ‘Henry you made me',
P006,CRAZY_AFFECTION,REALITY_DISTORTION_SUBTYPE,'Crazy' used affectionately ('crazy about you'),1,1,0,2025-03-27,2025-03-27,0,No legal significance on its own — context marker only,Madly so,
P023,SEXUAL_PRESSURE,SEXUAL,"Pressure to engage in sexual acts, removal of the ability to say no, statements that she 'can't refuse'",1,1,0,2024-12-07,2024-12-07,0,SOA 2003 s.74 (freely given consent); R v Lawrence [2020] (stealthing),"‘Because you’ve been very bad by making daddy wait to use your ass, you’re getting taken to a sex club with “I’m not allowed to say no” written on you chest’",
P024,THREAT_HOUSING,THREAT,"Threats to remove housing: 'kick you out', 'you'll have nowhere to go'",1,1,0,2026-04-30,2026-04-30,0,SCA 2015 s.76; DA Act 2021 s.1(4); Housing Act 1996 s.177,And I’m not being kicked out of my house,
